[2023-06-06 11:17:40,112] Register_01 - Step 01: Click Register link
[2023-06-06 15:54:54,533] Register_04 - Step 02: Enter to firstName textbox
[2023-06-06 15:54:54,694] Register_04 - Step 03: Enter to LastName textbox
[2023-06-06 15:54:54,833] Register_04 - Step 04: Enter to Email textbox
[2023-06-06 15:54:54,995] Register_04 - Step 05: Enter to Password textbox
[2023-06-06 15:54:55,139] Register_04 - Step 06: Enter to Confirm Password textbox
[2023-06-06 15:54:55,294] Register_04 - Step 07: Enter to Register button
[2023-06-06 15:54:56,095] Register_04 - Step 08: Verify error message display
[2023-06-06 15:54:59,247] Register_05 - Step 01: Click Register link
[2023-06-06 15:55:02,891] Register_05 - Step 02: Enter to firstName textbox
[2023-06-06 15:55:03,030] Register_05 - Step 03: Enter to LastName textbox
[2023-06-06 15:55:03,158] Register_05 - Step 04: Enter to Email textbox
[2023-06-06 15:55:03,293] Register_05 - Step 05: Enter to Password textbox
[2023-06-06 15:55:03,399] Register_05 - Step 06: Enter to Confirm Password textbox
[2023-06-06 15:55:03,537] Register_05 - Step 07: Enter to Register button
[2023-06-06 15:55:08,879] Register_05 - Step 08: Verify message display
[2023-06-06 15:55:24,540] Register_06 - Step 01: Click Login link
[2023-06-06 16:29:38,629] Register_01 - Step 01: Click Register link
[2023-06-06 16:29:39,981] Register_01 - Step 02: Click Register button
[2023-06-06 16:29:40,483] Register_01 - Step 03: Verify error message First name display
[2023-06-06 16:29:40,586] Register_01 - Step 04: Verify error message Last name display
[2023-06-06 16:29:40,688] Register_01 - Step 05: Verify error message Email display
[2023-06-06 16:29:40,788] Register_01 - Step 05: Verify error message Password display
[2023-06-06 16:29:40,878] Register_01 - Step 05: Verify error message Confirm display
[2023-06-06 16:29:41,729] Register_02 - Step 01: Click Register link
[2023-06-06 16:29:42,301] Register_02 - Step 02: Enter to firstName textbox
[2023-06-06 16:29:42,469] Register_02 - Step 03: Enter to LastName textbox
[2023-06-06 16:29:42,630] Register_02 - Step 04: Enter to Email textbox
[2023-06-06 16:29:42,765] Register_02 - Step 05: Enter to Password textbox
[2023-06-06 16:29:42,898] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-06 16:29:43,032] Register_02 - Step 07: Click Register button
[2023-06-06 16:29:43,335] Register_02 - Step 08: Verify error message display
[2023-06-06 16:29:43,984] Register_03 - Step 01: Click Register link
[2023-06-06 16:29:44,537] Register_03 - Step 02: Enter to firstName textbox
[2023-06-06 16:29:44,755] Register_03 - Step 03: Enter to LastName textbox
[2023-06-06 16:29:44,909] Register_03 - Step 04: Enter to Email textbox
[2023-06-06 16:29:45,067] Register_03 - Step 05: Enter to Password textbox
[2023-06-06 16:29:45,201] Register_03 - Step 06: Enter to Confirm Password textbox
[2023-06-06 16:29:45,337] Register_03 - Step 07: Enter to Register button
[2023-06-06 16:29:46,152] Register_03 - Step 08: Verify error message display
[2023-06-06 16:29:47,133] Register_04 - Step 01: Click Register link
[2023-06-06 16:29:47,751] Register_04 - Step 02: Enter to firstName textbox
[2023-06-06 16:29:48,012] Register_04 - Step 03: Enter to LastName textbox
[2023-06-06 16:29:48,183] Register_04 - Step 04: Enter to Email textbox
[2023-06-06 16:29:48,339] Register_04 - Step 05: Enter to Password textbox
[2023-06-06 16:29:48,494] Register_04 - Step 06: Enter to Confirm Password textbox
[2023-06-06 16:29:48,627] Register_04 - Step 07: Enter to Register button
[2023-06-06 16:29:49,422] Register_04 - Step 08: Verify error message display
[2023-06-06 16:29:50,183] Register_05 - Step 01: Click Register link
[2023-06-06 16:29:50,820] Register_05 - Step 02: Enter to firstName textbox
[2023-06-06 16:29:51,058] Register_05 - Step 03: Enter to LastName textbox
[2023-06-06 16:29:51,217] Register_05 - Step 04: Enter to Email textbox
[2023-06-06 16:29:51,381] Register_05 - Step 05: Enter to Password textbox
[2023-06-06 16:29:51,557] Register_05 - Step 06: Enter to Confirm Password textbox
[2023-06-06 16:29:51,713] Register_05 - Step 07: Enter to Register button
[2023-06-06 16:29:52,785] Register_05 - Step 08: Verify message display
[2023-06-06 16:29:53,471] Register_06 - Step 01: Click Login link
[2023-06-06 16:29:54,087] Register_06 - Step 02: Enter to Email textbox
[2023-06-06 16:29:54,324] Register_06 - Step 03: Enter to Password textbox
[2023-06-06 16:29:54,485] Register_06 - Step 04: Enter to Login button
[2023-06-06 16:29:55,478] Register_06 - Step 05: Enter to Login button
[2023-06-06 16:29:56,124] Register_06 - Step 06:Verify FirstName display: Phượng
[2023-06-06 16:29:56,317] Register_06 - Step 07: Verify error message display
[2023-06-06 16:29:56,401] Register_06 - Step 08: Verify email display:PhuongTest974@gmail.com
[2023-06-06 16:33:15,460] Register_01 - Step 01: Click Register link
[2023-06-06 16:33:16,828] Register_01 - Step 02: Click Register button
[2023-06-06 16:33:17,182] Register_01 - Step 03: Verify error message First name display
[2023-06-06 16:33:17,290] Register_01 - Step 04: Verify error message Last name display
[2023-06-06 16:33:17,383] Register_01 - Step 05: Verify error message Email display
[2023-06-06 16:33:17,492] Register_01 - Step 05: Verify error message Password display
[2023-06-06 16:33:18,467] Register_02 - Step 01: Click Register link
[2023-06-06 16:33:18,954] Register_02 - Step 02: Enter to firstName textbox
[2023-06-06 16:33:19,182] Register_02 - Step 03: Enter to LastName textbox
[2023-06-06 16:33:19,326] Register_02 - Step 04: Enter to Email textbox
[2023-06-06 16:33:19,476] Register_02 - Step 05: Enter to Password textbox
[2023-06-06 16:33:19,630] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-06 16:33:19,772] Register_02 - Step 07: Click Register button
[2023-06-06 16:33:20,108] Register_02 - Step 08: Verify error message display
[2023-06-06 16:33:20,832] Register_03 - Step 01: Click Register link
[2023-06-06 16:33:21,421] Register_03 - Step 02: Enter to firstName textbox
[2023-06-06 16:33:21,567] Register_03 - Step 03: Enter to LastName textbox
[2023-06-06 16:33:21,703] Register_03 - Step 04: Enter to Email textbox
[2023-06-06 16:33:21,869] Register_03 - Step 05: Enter to Password textbox
[2023-06-06 16:33:21,994] Register_03 - Step 06: Enter to Confirm Password textbox
[2023-06-06 16:33:22,112] Register_03 - Step 07: Enter to Register button
[2023-06-06 16:33:22,922] Register_03 - Step 08: Verify error message display
[2023-06-06 16:33:23,564] Register_04 - Step 01: Click Register link
[2023-06-06 16:33:24,098] Register_04 - Step 02: Enter to firstName textbox
[2023-06-06 16:33:24,248] Register_04 - Step 03: Enter to LastName textbox
[2023-06-06 16:33:24,388] Register_04 - Step 04: Enter to Email textbox
[2023-06-06 16:33:24,520] Register_04 - Step 05: Enter to Password textbox
[2023-06-06 16:33:24,629] Register_04 - Step 06: Enter to Confirm Password textbox
[2023-06-06 16:33:24,751] Register_04 - Step 07: Enter to Register button
[2023-06-06 16:33:25,548] Register_04 - Step 08: Verify error message display
[2023-06-06 16:33:26,130] Register_05 - Step 01: Click Register link
[2023-06-06 16:33:26,738] Register_05 - Step 02: Enter to firstName textbox
[2023-06-06 16:33:26,878] Register_05 - Step 03: Enter to LastName textbox
[2023-06-06 16:33:27,036] Register_05 - Step 04: Enter to Email textbox
[2023-06-06 16:33:27,189] Register_05 - Step 05: Enter to Password textbox
[2023-06-06 16:33:27,300] Register_05 - Step 06: Enter to Confirm Password textbox
[2023-06-06 16:33:27,439] Register_05 - Step 07: Enter to Register button
[2023-06-06 16:33:28,483] Register_05 - Step 08: Verify message display
[2023-06-06 16:33:29,101] Register_06 - Step 01: Click Login link
[2023-06-06 16:33:29,727] Register_06 - Step 02: Enter to Email textbox
[2023-06-06 16:33:29,908] Register_06 - Step 03: Enter to Password textbox
[2023-06-06 16:33:30,053] Register_06 - Step 04: Enter to Login button
[2023-06-06 16:33:30,916] Register_06 - Step 05: Enter to Login button
[2023-06-06 16:33:31,453] Register_06 - Step 06:Verify FirstName display: Phượng
[2023-06-06 16:33:31,566] Register_06 - Step 07: Verify error message display
[2023-06-07 21:58:32,707] Register_01 - Step 01: Click Register link
[2023-06-07 21:58:33,987] Register_01 - Step 02: Click Register button
[2023-06-07 21:58:34,335] Register_01 - Step 03: Verify error message First name display
[2023-06-07 21:58:34,443] Register_01 - Step 04: Verify error message Last name display
[2023-06-07 21:58:34,537] Register_01 - Step 05: Verify error message Email display
[2023-06-07 21:58:34,629] Register_01 - Step 05: Verify error message Password display
[2023-06-07 21:58:35,501] Register_02 - Step 01: Click Register link
[2023-06-07 21:58:36,050] Register_02 - Step 02: Enter to firstName textbox
[2023-06-07 21:58:36,260] Register_02 - Step 03: Enter to LastName textbox
[2023-06-07 21:58:36,435] Register_02 - Step 04: Enter to Email textbox
[2023-06-07 21:58:36,582] Register_02 - Step 05: Enter to Password textbox
[2023-06-07 21:58:36,727] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-07 21:58:36,853] Register_02 - Step 07: Click Register button
[2023-06-07 21:58:37,197] Register_02 - Step 08: Verify error message display
[2023-06-07 21:58:37,770] Register_03 - Step 01: Click Register link
[2023-06-07 21:58:38,277] Register_03 - Step 02: Enter to firstName textbox
[2023-06-07 21:58:38,422] Register_03 - Step 03: Enter to LastName textbox
[2023-06-07 21:58:38,586] Register_03 - Step 04: Enter to Email textbox
[2023-06-07 21:58:38,746] Register_03 - Step 05: Enter to Password textbox
[2023-06-07 21:58:38,879] Register_03 - Step 06: Enter to Confirm Password textbox
[2023-06-07 21:58:39,013] Register_03 - Step 07: Enter to Register button
[2023-06-07 21:58:39,815] Register_03 - Step 08: Verify error message display
[2023-06-07 21:58:40,386] Register_04 - Step 01: Click Register link
[2023-06-07 21:58:40,938] Register_04 - Step 02: Enter to firstName textbox
[2023-06-07 21:58:41,088] Register_04 - Step 03: Enter to LastName textbox
[2023-06-07 21:58:41,220] Register_04 - Step 04: Enter to Email textbox
[2023-06-07 21:58:41,381] Register_04 - Step 05: Enter to Password textbox
[2023-06-07 21:58:41,510] Register_04 - Step 06: Enter to Confirm Password textbox
[2023-06-07 21:58:41,626] Register_04 - Step 07: Enter to Register button
[2023-06-07 21:58:42,420] Register_04 - Step 08: Verify error message display
[2023-06-07 21:58:43,368] Register_05 - Step 01: Click Register link
[2023-06-07 21:58:43,908] Register_05 - Step 02: Enter to firstName textbox
[2023-06-07 21:58:44,053] Register_05 - Step 03: Enter to LastName textbox
[2023-06-07 21:58:44,217] Register_05 - Step 04: Enter to Email textbox
[2023-06-07 21:58:44,381] Register_05 - Step 05: Enter to Password textbox
[2023-06-07 21:58:44,525] Register_05 - Step 06: Enter to Confirm Password textbox
[2023-06-07 21:58:44,667] Register_05 - Step 07: Enter to Register button
[2023-06-07 21:58:45,574] Register_05 - Step 08: Verify message display
[2023-06-07 21:58:46,162] Register_06 - Step 01: Click Login link
[2023-06-07 21:58:46,673] Register_06 - Step 02: Enter to Email textbox
[2023-06-07 21:58:46,814] Register_06 - Step 03: Enter to Password textbox
[2023-06-07 21:58:46,944] Register_06 - Step 04: Enter to Login button
[2023-06-07 21:58:47,848] Register_06 - Step 05: Enter to Login button
[2023-06-07 21:58:48,300] Register_06 - Step 06:Verify FirstName display: Phượng
[2023-06-07 21:58:48,403] Register_06 - Step 07: Verify error message display
[2023-06-07 22:07:56,698] Register_01 - Step 01: Click Register link
[2023-06-07 22:07:57,917] Register_01 - Step 02: Click Register button
[2023-06-07 22:07:58,247] Register_01 - Step 03: Verify error message First name display
[2023-06-07 22:07:58,355] Register_01 - Step 04: Verify error message Last name display
[2023-06-07 22:07:58,450] Register_01 - Step 05: Verify error message Email display
[2023-06-07 22:07:58,545] Register_01 - Step 05: Verify error message Password display
[2023-06-07 22:07:59,325] Register_02 - Step 01: Click Register link
[2023-06-07 22:07:59,820] Register_02 - Step 02: Enter to firstName textbox
[2023-06-07 22:08:00,005] Register_02 - Step 03: Enter to LastName textbox
[2023-06-07 22:08:00,147] Register_02 - Step 04: Enter to Email textbox
[2023-06-07 22:08:00,258] Register_02 - Step 05: Enter to Password textbox
[2023-06-07 22:08:00,364] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-07 22:08:00,467] Register_02 - Step 07: Click Register button
[2023-06-07 22:08:00,777] Register_02 - Step 08: Verify error message display
[2023-06-07 22:08:01,461] Register_03 - Step 01: Click Register link
[2023-06-07 22:08:02,541] Register_03 - Step 02: Enter to firstName textbox
[2023-06-07 22:08:03,459] Register_03 - Step 03: Enter to LastName textbox
[2023-06-07 22:08:03,796] Register_03 - Step 04: Enter to Email textbox
[2023-06-07 22:08:04,279] Register_03 - Step 05: Enter to Password textbox
[2023-06-07 22:08:04,518] Register_03 - Step 06: Enter to Confirm Password textbox
[2023-06-07 22:08:04,723] Register_03 - Step 07: Enter to Register button
[2023-06-07 22:08:05,575] Register_03 - Step 08: Verify error message display
[2023-06-07 22:08:06,115] Register_04 - Step 01: Click Register link
[2023-06-07 22:08:06,578] Register_04 - Step 02: Enter to firstName textbox
[2023-06-07 22:08:06,708] Register_04 - Step 03: Enter to LastName textbox
[2023-06-07 22:08:06,848] Register_04 - Step 04: Enter to Email textbox
[2023-06-07 22:08:06,981] Register_04 - Step 05: Enter to Password textbox
[2023-06-07 22:08:07,081] Register_04 - Step 06: Enter to Confirm Password textbox
[2023-06-07 22:08:07,235] Register_04 - Step 07: Enter to Register button
[2023-06-07 22:08:08,062] Register_04 - Step 08: Verify error message display
[2023-06-07 22:08:08,725] Register_05 - Step 01: Click Register link
[2023-06-07 22:08:09,213] Register_05 - Step 02: Enter to firstName textbox
[2023-06-07 22:08:09,363] Register_05 - Step 03: Enter to LastName textbox
[2023-06-07 22:08:09,508] Register_05 - Step 04: Enter to Email textbox
[2023-06-07 22:08:09,664] Register_05 - Step 05: Enter to Password textbox
[2023-06-07 22:08:09,808] Register_05 - Step 06: Enter to Confirm Password textbox
[2023-06-07 22:08:09,922] Register_05 - Step 07: Enter to Register button
[2023-06-07 22:08:10,853] Register_05 - Step 08: Verify message display
[2023-06-07 22:08:11,491] Register_06 - Step 01: Click Login link
[2023-06-07 22:08:11,984] Register_06 - Step 02: Enter to Email textbox
[2023-06-07 22:08:12,135] Register_06 - Step 03: Enter to Password textbox
[2023-06-07 22:08:12,273] Register_06 - Step 04: Enter to Login button
[2023-06-07 22:08:13,001] Register_06 - Step 05: Enter to Login button
[2023-06-07 22:08:13,467] Register_06 - Step 06:Verify FirstName display: Phượng
[2023-06-07 22:08:13,555] Register_06 - Step 07: Verify error message display
[2023-06-08 12:19:08,172] Register_01 - Step 01: Click Register link
[2023-06-08 12:19:10,436] Register_01 - Step 02: Click Register button
[2023-06-08 12:19:10,793] Register_01 - Step 03: Verify error message First name display
[2023-06-08 12:19:10,899] Register_01 - Step 04: Verify error message Last name display
[2023-06-08 12:19:10,994] Register_01 - Step 05: Verify error message Email display
[2023-06-08 12:19:11,085] Register_01 - Step 05: Verify error message Password display
[2023-06-08 12:19:12,937] Register_02 - Step 01: Click Register link
[2023-06-08 12:19:13,647] Register_02 - Step 02: Enter to firstName textbox
[2023-06-08 12:19:13,832] Register_02 - Step 03: Enter to LastName textbox
[2023-06-08 12:19:13,988] Register_02 - Step 04: Enter to Email textbox
[2023-06-08 12:19:14,148] Register_02 - Step 05: Enter to Password textbox
[2023-06-08 12:19:14,291] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:19:14,421] Register_02 - Step 07: Click Register button
[2023-06-08 12:19:14,719] Register_02 - Step 08: Verify error message display
[2023-06-08 12:19:15,296] Register_03 - Step 01: Click Register link
[2023-06-08 12:19:16,164] Register_03 - Step 02: Enter to firstName textbox
[2023-06-08 12:19:16,296] Register_03 - Step 03: Enter to LastName textbox
[2023-06-08 12:19:16,424] Register_03 - Step 04: Enter to Email textbox
[2023-06-08 12:19:16,577] Register_03 - Step 05: Enter to Password textbox
[2023-06-08 12:19:16,716] Register_03 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:19:16,845] Register_03 - Step 07: Enter to Register button
[2023-06-08 12:19:17,646] Register_03 - Step 08: Verify error message display
[2023-06-08 12:19:18,268] Register_04 - Step 01: Click Register link
[2023-06-08 12:19:18,760] Register_04 - Step 02: Enter to firstName textbox
[2023-06-08 12:19:18,921] Register_04 - Step 03: Enter to LastName textbox
[2023-06-08 12:19:19,073] Register_04 - Step 04: Enter to Email textbox
[2023-06-08 12:19:19,239] Register_04 - Step 05: Enter to Password textbox
[2023-06-08 12:19:19,430] Register_04 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:19:19,586] Register_04 - Step 07: Enter to Register button
[2023-06-08 12:19:20,373] Register_04 - Step 08: Verify error message display
[2023-06-08 12:19:20,968] Register_05 - Step 01: Click Register link
[2023-06-08 12:19:21,547] Register_05 - Step 02: Enter to firstName textbox
[2023-06-08 12:19:21,703] Register_05 - Step 03: Enter to LastName textbox
[2023-06-08 12:19:21,859] Register_05 - Step 04: Enter to Email textbox
[2023-06-08 12:19:22,017] Register_05 - Step 05: Enter to Password textbox
[2023-06-08 12:19:22,167] Register_05 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:19:22,317] Register_05 - Step 07: Enter to Register button
[2023-06-08 12:19:23,366] Register_05 - Step 08: Verify message display
[2023-06-08 12:19:24,017] Register_06 - Step 01: Click Login link
[2023-06-08 12:19:24,608] Register_06 - Step 02: Enter to Email textbox
[2023-06-08 12:19:24,749] Register_06 - Step 03: Enter to Password textbox
[2023-06-08 12:19:24,874] Register_06 - Step 04: Enter to Login button
[2023-06-08 12:19:25,731] Register_06 - Step 05: Enter to Login button
[2023-06-08 12:19:26,230] Register_06 - Step 06:Verify FirstName display: Phượng
[2023-06-08 12:19:26,321] Register_06 - Step 07: Verify error message display
[2023-06-08 12:23:58,996] Register_01 - Step 01: Click Register link
[2023-06-08 12:24:00,491] Register_01 - Step 02: Click Register button
[2023-06-08 12:24:00,868] Register_01 - Step 03: Verify error message First name display
[2023-06-08 12:24:00,976] Register_01 - Step 04: Verify error message Last name display
[2023-06-08 12:24:01,063] Register_01 - Step 05: Verify error message Email display
[2023-06-08 12:24:01,155] Register_01 - Step 05: Verify error message Password display
[2023-06-08 12:24:02,087] Register_02 - Step 01: Click Register link
[2023-06-08 12:24:02,816] Register_02 - Step 02: Enter to firstName textbox
[2023-06-08 12:24:02,980] Register_02 - Step 03: Enter to LastName textbox
[2023-06-08 12:24:03,138] Register_02 - Step 04: Enter to Email textbox
[2023-06-08 12:24:03,294] Register_02 - Step 05: Enter to Password textbox
[2023-06-08 12:24:03,455] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:24:03,596] Register_02 - Step 07: Click Register button
[2023-06-08 12:24:03,946] Register_02 - Step 08: Verify error message display
[2023-06-08 12:24:04,530] Register_03 - Step 01: Click Register link
[2023-06-08 12:24:05,059] Register_03 - Step 02: Enter to firstName textbox
[2023-06-08 12:24:05,229] Register_03 - Step 03: Enter to LastName textbox
[2023-06-08 12:24:05,388] Register_03 - Step 04: Enter to Email textbox
[2023-06-08 12:24:05,557] Register_03 - Step 05: Enter to Password textbox
[2023-06-08 12:24:05,699] Register_03 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:24:05,843] Register_03 - Step 07: Enter to Register button
[2023-06-08 12:24:06,633] Register_03 - Step 08: Verify error message display
[2023-06-08 12:24:07,370] Register_04 - Step 01: Click Register link
[2023-06-08 12:24:07,842] Register_04 - Step 02: Enter to firstName textbox
[2023-06-08 12:24:08,009] Register_04 - Step 03: Enter to LastName textbox
[2023-06-08 12:24:08,143] Register_04 - Step 04: Enter to Email textbox
[2023-06-08 12:24:08,284] Register_04 - Step 05: Enter to Password textbox
[2023-06-08 12:24:08,408] Register_04 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:24:08,529] Register_04 - Step 07: Enter to Register button
[2023-06-08 12:24:09,325] Register_04 - Step 08: Verify error message display
[2023-06-08 12:24:09,928] Register_05 - Step 01: Click Register link
[2023-06-08 12:24:10,493] Register_05 - Step 02: Enter to firstName textbox
[2023-06-08 12:24:10,695] Register_05 - Step 03: Enter to LastName textbox
[2023-06-08 12:24:10,836] Register_05 - Step 04: Enter to Email textbox
[2023-06-08 12:24:10,998] Register_05 - Step 05: Enter to Password textbox
[2023-06-08 12:24:11,154] Register_05 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:24:11,278] Register_05 - Step 07: Enter to Register button
[2023-06-08 12:24:13,160] Register_05 - Step 08: Verify message display
[2023-06-08 12:24:13,807] Register_06 - Step 01: Click Login link
[2023-06-08 12:31:38,408] Register_01 - Step 01: Click Register link
[2023-06-08 12:31:43,871] Register_01 - Step 02: Click Register button
[2023-06-08 12:31:44,836] Register_01 - Step 03: Verify error message First name display
[2023-06-08 12:31:44,948] Register_01 - Step 04: Verify error message Last name display
[2023-06-08 12:31:45,036] Register_01 - Step 05: Verify error message Email display
[2023-06-08 12:31:45,127] Register_01 - Step 05: Verify error message Password display
[2023-06-08 12:31:49,424] Register_02 - Step 01: Click Register link
[2023-06-08 12:31:50,250] Register_02 - Step 02: Enter to firstName textbox
[2023-06-08 12:31:50,406] Register_02 - Step 03: Enter to LastName textbox
[2023-06-08 12:31:50,541] Register_02 - Step 04: Enter to Email textbox
[2023-06-08 12:31:50,666] Register_02 - Step 05: Enter to Password textbox
[2023-06-08 12:31:50,806] Register_02 - Step 06: Enter to Confirm Password textbox
[2023-06-08 12:31:50,940] Register_02 - Step 07: Click Register button
[2023-06-08 12:31:51,740] Register_02 - Step 08: Verify error message display
